,result,champion,kill,death,assist,dmg_dealt,dmg_taken,game_type,length,kill_percentage,average_tier,cs,cs_per_minute,items,control_wards,baron,dragon,tower
0,Derrota,Cassiopeia,0 , 3 , 0,"2,043","7,222",Clasificatoria Solo 5vs5,17 11,C/Kill 0%,bronze 1,76,(4.4),"['Lágrima de la diosa', 'Capítulo perdido', 'Poción reutilizable', 'Códice diabólico', 'Lente del oráculo']",Control Ward 3,0,0,0
1,Derrota,Sion,8 , 12 , 26,"20,711","85,767",ARAM,28 25,C/Kill 56%,silver 3,88,(3.1),"['Corazón de acero', 'Máscara abisal', 'Botas blindadas', 'Égida de fuego solar', 'Malla de espinas', 'Fuerza de la naturaleza', 'Snack para poros']",Control Ward 0,0,0,2
2,Derrota,Ornn,9 , 9 , 16,"18,296","33,649",ARAM,17 48,C/Kill 64%,bronze 1,45,(2.5),"['El parásito tácito', 'Fuerza de la naturaleza', 'Botas de mercurio', 'Égida de fuego solar', 'Cinturón de gigante', 'Brazal cristalino', 'Snack para poros']",Control Ward 0,0,0,0
3,Derrota,Sion,7 , 9 , 13,"16,148","43,370",ARAM,13 11,C/Kill 74%,silver 4,21,(1.6),"['Corazón de acero', 'Botas blindadas', 'Malla de espinas', 'Rescoldo de Bami', 'Chaleco de cadenas', 'Snack para poros']",Control Ward 0,0,0,0
4,Derrota,Vel'Koz,5 , 9 , 39,"41,824","25,345",ARAM,22 25,C/Kill 68%,silver 3,48,(2.1),"['Tempestad de Luden', 'Botas de hechicero', 'Poción reutilizable', 'Llamasombría', 'Bastón del Vacío', 'Sombrero mortal de Rabadon', 'Snack para poros']",Control Ward 0,0,0,2
5,Victoria,Ornn,1 , 7 , 22,"9,086","23,152",ARAM,15 27,C/Kill 57%,silver 2,20,(1.3),"['Leviatán', 'Poción reutilizable', 'Botas blindadas', 'Malla de espinas', 'Armadura de tela', 'Snack para poros']",Control Ward 0,0,0,4
6,Victoria,Veigar,12 , 11 , 20,"39,455","23,784",ARAM,23 15,C/Kill 71%,silver 3,49,(2.1),"['Tempestad de Luden', 'Botas de hechicero', 'Morellonomicón', 'Llamasombría', 'Bastón del Vacío', 'Snack para poros']",Control Ward 0,0,0,4
7,Derrota,Vex,6 , 7 , 4,"14,116","16,395",Clash,28 43,C/Kill 53%,silver 4,151,(5.3),"['Tempestad de Luden', 'Cristal de rubí', 'Reloj de arena de Zhonya', 'Orbe del olvido', 'Botas de hechicero', 'Tomo amplificador', 'Lente del oráculo']",Control Ward 2,0,0,2
8,Victoria,Vex,8 , 2 , 6,"10,025","5,714",Clash,15 52,C/Kill 74%,silver 4,74,(4.7),"['Anillo de Doran', 'Botas de hechicero', 'Tempestad de Luden', 'Poción reutilizable', 'Tomo amplificador', 'Lente del oráculo']",Control Ward 2,0,2,1
9,Derrota,Zed,6 , 8 , 14,"27,644","32,823",Rango 5:5 Flex,41 23,C/Kill 69%,silver 1,218,(5.3),"['Hidra voraz', 'Botas de mercurio', 'Rencor de Serylda', 'Eclipse', 'Cuchilla negra', 'Lente del oráculo']",Control Ward 2,1,0,5
10,Victoria,Fizz,1 , 3 , 9,"5,985","14,334",Rango 5:5 Flex,30 13,C/Kill 32%,silver 1,140,(4.6),"['Tempestad de Luden', 'Poción reutilizable', 'Cronómetro estropeado', 'Botas de hechicero', 'Anillo de Doran', 'Brazalete de la buscadora', 'Lente del oráculo']",Control Ward 3,0,1,8
11,Derrota,Veigar,1 , 3 , 0,"6,679","9,475",Rango 5:5 Flex,24 3,C/Kill 33%,gold 4,141,(5.9),"['Anillo de Doran', 'Poción reutilizable', 'Tempestad de Luden', 'Botas de hechicero', 'Tomo amplificador', 'Lente del oráculo']",Control Ward 2,0,0,1
12,Derrota,Kayn,12 , 11 , 16,"47,043","77,367",Normal,50 32,C/Kill 70%,bronze 2,279,(5.5),"['Botas blindadas', 'Baile de la muerte', 'Chupasangre', 'Cuchilla negra', 'Malla de espinas', 'Rostro espiritual', 'Lente del oráculo']",Control Ward 0,1,1,5
13,Victoria,Kayn,6 , 0 , 10,"12,567","23,229",Normal,23 7,C/Kill 47%,bronze 1,151,(6.5),"['Botas blindadas', 'Poción reutilizable', 'Chupasangre', 'Chaleco de cadenas', 'Martillo de guerra de Caulfield', 'Lente del oráculo']",Control Ward 1,0,3,9
14,Victoria,Cassiopeia,3 , 2 , 1,"9,056","13,111",Normal,24 30,C/Kill 21%,bronze 3,154,(6.3),"['Abrazo del serafín', 'Desconsuelo de Liandry', 'Poción reutilizable', 'Lente del oráculo']",Control Ward 3,0,3,3
15,Derrota,Zed,13 , 10 , 10,"34,283","37,954",Rango 5:5 Flex,42 5,C/Kill 66%,silver 1,205,(4.9),"['Eclipse', 'Hidra voraz', 'Martillo de guerra de Caulfield', 'Cuchilla negra', 'Botas de mercurio', 'Espada larga', 'Lente del oráculo']",Control Ward 1,1,1,7
16,Derrota,Fizz,4 , 8 , 6,"14,634","19,004",Rango 5:5 Flex,30 2,C/Kill 71%,gold 4,190,(6.3),"['Anillo de Doran', 'Tempestad de Luden', 'Reloj de arena de Zhonya', 'Orbe del olvido', 'Botas de hechicero', 'Alternador hextech', 'Lente del oráculo']",Control Ward 1,0,1,3
17,Victoria,Zed,11 , 0 , 3,"19,932","12,055",Rango 5:5 Flex,26 17,C/Kill 67%,silver 1,198,(7.5),"['Filoscuro de Draktharr', 'Poción reutilizable', 'Botas jonias de la lucidez', 'Hidra voraz', 'Daga dentada', 'Lente del oráculo']",Control Ward 1,1,4,5
18,Victoria,Zed,15 , 11 , 13,"40,695","37,836",Rango 5:5 Flex,45 35,C/Kill 42%,gold 4,243,(5.3),"['Eclipse', 'Cuchilla negra', 'Hidra voraz', 'Rencor de Serylda', 'Daga dentada', 'Botas de mercurio', 'Lente del oráculo']",Control Ward 3,0,4,8
